Name,Function,Contents,Saturday,Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Score,NumOfReviews,Indoor/Outdoors,Longitude,Latitude,Image
한솥세종대점,음식점,,,,,,,,,3.0,1,,127.072134,37.5505389,한솥세종대점.jpg
조씨네 고기국수,음식점,,오전 11:30~오후 3:00,오전 11:30~오후 3:00,오전 11:30~오후 3:00,오전 11:30~오후 3:00,오전 11:30~오후 3:00,오전 11:30~오후 3:00,오전 11:30~오후 3:00,4.1,101,,127.072134,37.5505389,조씨네 고기국수.jpg
하이난,중국 음식점,,오전 10:00~오후 9:00,오전 10:00~오후 9:00,오전 10:00~오후 9:00,오전 10:00~오후 9:00,오전 10:00~오후 9:00,오전 10:00~오후 9:00,오전 10:00~오후 9:00,3.8,173,,127.072134,37.5505389,하이난.jpg
Tokyo420,일본 음식점,,오전 11:30~오후 9:00,오전 11:30~오후 9:00,오전 11:30~오후 9:00,오전 11:30~오후 9:00,오전 11:30~오후 9:00,오전 11:30~오후 9:00,오전 11:30~오후 9:00,3.6,83,,127.072134,37.5505389,Tokyo420.jpg
대명소곱창,음식점,,,,,,,,,4.1,70,,127.072134,37.5505389,대명소곱창.jpg
소문난 성수 감자탕,음식점,,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,2.0,2,,127.0368908,37.5428492,소문난 성수 감자탕.jpg
건국갈비,음식점,,오전 10:00~오후 10:00,Closed,오전 10:00~오후 10:00,오전 10:00~오후 10:00,오전 10:00~오후 10:00,오전 10:00~오후 10:00,오전 10:00~오후 10:00,3.7,18,,127.072134,37.5505389,건국갈비.jpg
명문한우가,한국식 소고기 전문 음식점,,,,,,,,,3.0,5,,127.072134,37.5505389,명문한우가.jpg
벨피아또,이탈리아 음식점,,오전 11:30~오후 3:30,오전 11:30~오후 3:30,오전 11:30~오후 3:30,오전 11:30~오후 3:30,오전 11:30~오후 3:30,오전 11:30~오후 3:30,오전 11:30~오후 3:30,4.0,133,,127.072134,37.5505389,벨피아또.jpg
매드포갈릭 건대스타시티점,이탈리아 음식점,,오전 11:30~오후 10:00,오전 11:30~오후 10:00,오전 11:30~오후 10:00,오전 11:30~오후 10:00,오전 11:30~오후 10:00,오전 11:30~오후 10:00,오전 11:30~오후 10:00,3.7,76,,127.072134,37.5505389,매드포갈릭 건대스타시티점.jpg
페스타마레,이탈리아 음식점,,오전 11:30~오후 10:00,오전 11:30~오후 10:00,오전 11:30~오후 10:00,오전 11:30~오후 10:00,오전 11:30~오후 10:00,오전 11:30~오후 10:00,오전 11:30~오후 10:00,3.7,32,,127.072134,37.5505389,페스타마레.jpg
개미집,음식점,,오전 10:00~오전 12:00,오전 10:00~오전 12:00,오전 10:00~오전 12:00,오전 10:00~오전 12:00,오전 10:00~오전 12:00,오전 10:00~오전 12:00,오전 10:00~오전 12:00,3.8,84,,127.072134,37.5505389,개미집.jpg
바베양장,음식점,,오전 11:00~오후 11:30,오전 11:00~오후 11:30,오전 11:00~오후 3:30,오전 11:00~오후 3:30,오전 11:00~오후 3:30,오전 11:00~오후 3:30,오전 11:00~오후 12:00,3.7,58,,127.0359435,37.542462,바베양장.jpg
소세지연구소 부대전골,음식점,,오전 10:00~오후 10:00,Closed,오전 10:00~오후 10:00,오전 10:00~오후 10:00,오전 10:00~오후 10:00,오전 10:00~오후 10:00,오전 10:00~오후 10:00,4.9,8,,127.0352974,37.5484923,소세지연구소 부대전골.jpg
빠오즈푸,딤섬 전문 레스토랑,,오전 11:30~오후 8:30,오전 11:30~오후 8:30,오전 11:30~오후 8:30,오전 11:30~오후 8:30,Closed,오전 11:30~오후 8:30,오전 11:30~오후 8:30,4.1,220,,127.072134,37.5505389,빠오즈푸.jpg
엉뚱식당 한우전문점,음식점,,,,,,,,,4.9,9,,127.0497051,37.5649299,엉뚱식당 한우전문점.jpg
샹그라,음식점,,오전 11:00~오후 10:00,오전 11:00~오후 10:00,오전 11:00~오후 10:00,오전 11:00~오후 10:00,오전 11:00~오후 10:00,오전 11:00~오후 10:00,오전 11:00~오후 10:00,4.0,1,,127.072134,37.5505389,샹그라.jpg
매화반점,중국 음식점,,오후 12:00~오전 1:00,오후 12:00~오전 1:00,오후 12:00~오전 1:00,오후 12:00~오전 1:00,오후 12:00~오전 1:00,오후 12:00~오전 1:00,오후 12:00~오전 1:00,3.7,606,,127.072134,37.5505389,매화반점.jpg
투썸플레이스 어린이대공원역점,카페,,오전 8:00~오전 2:30,오전 8:00~오후 11:30,오전 8:00~오후 11:30,오전 8:00~오후 11:30,오전 8:00~오후 11:30,오전 8:00~오후 11:30,오전 8:00~오전 2:30,3.9,47,,127.072134,37.5505389,투썸플레이스 어린이대공원역점.jpg
벨롱에스프레소,카페,,오전 11:00~오후 10:30,오전 11:00~오후 10:30,오전 11:00~오후 10:30,오전 11:00~오후 10:30,오전 11:00~오후 10:30,오전 11:00~오후 10:30,오전 11:00~오후 10:30,4.1,21,,127.072134,37.5505389,벨롱에스프레소.jpg
롬곡,카페,,,,,,,,,4.4,23,,127.072134,37.5505389,롬곡.jpg
카페레가토(CAFFE' LEGATO),카페,,오전 11:30~오후 11:00,오전 11:30~오후 11:00,오전 11:30~오후 11:00,Closed,오전 11:30~오후 11:00,오전 11:30~오후 11:00,오전 11:30~오후 11:00,,,,127.0500747,37.5463294,카페레가토(CAFFE' LEGATO).jpg
카페 호이,카페,,,,,,,,,4.3,9,,127.072134,37.5505389,카페 호이.jpg
(주)바나나토크,카페,,오전 11:00~오후 11:00,오전 11:00~오후 11:00,오전 11:00~오후 11:00,오전 11:00~오후 11:00,오전 11:00~오후 11:00,오전 11:00~오후 11:00,오전 11:00~오후 11:00,3.5,56,,127.072134,37.5505389,(주)바나나토크.jpg
카페데코믹스 건대점,카페,,,,,,,,,4.1,25,,127.072134,37.5505389,카페데코믹스 건대점.jpg
감성다방,카페,,오전 11:30~오후 11:00,오전 11:30~오후 11:00,오전 11:30~오후 11:00,Closed,오전 11:30~오후 11:00,오전 11:30~오후 11:00,오전 11:30~오후 11:00,4.5,23,,127.072134,37.5505389,감성다방.jpg
투썸플레이스 아차산역,카페,,오전 8:00~오후 11:30,오전 8:00~오후 11:30,오전 8:00~오후 11:30,오전 8:00~오후 11:30,오전 8:00~오후 11:30,오전 8:00~오후 11:30,오전 8:00~오후 11:30,4.1,56,,127.072134,37.5505389,투썸플레이스 아차산역.jpg
투썸플레이스군자역점,카페,,,,,,,,,3.6,30,,127.072134,37.5505389,투썸플레이스군자역점.jpg
투썸플레이스 성수역,카페,,오전 9:00~오후 11:00,오전 9:00~오후 10:00,오전 8:00~오후 11:00,오전 8:00~오후 11:00,오전 8:00~오후 11:00,오전 8:00~오후 11:00,오전 8:00~오후 11:00,4.0,6,,127.0365232,37.5449238,투썸플레이스 성수역.jpg
탐앤탐스군자역점,카페,,오전 7:00~오전 2:00,오전 7:00~오전 2:00,오전 7:00~오전 2:00,오전 7:00~오전 2:00,오전 7:00~오전 2:00,오전 7:00~오전 2:00,오전 7:00~오전 2:00,3.8,30,,127.072134,37.5505389,탐앤탐스군자역점.jpg
케이이스케이프,카페,,오전 10:00~오후 11:15,오전 10:00~오후 11:15,오전 10:00~오후 11:15,오전 10:00~오후 11:15,오전 10:00~오후 11:15,오전 10:00~오후 11:15,오전 10:00~오후 11:15,3.8,4,,127.072134,37.5505389,케이이스케이프.jpg
와플그란데,카페,,오전 11:00~오후 7:00,오전 11:00~오후 7:00,오전 8:00~오후 10:00,오전 8:00~오후 10:00,오전 8:00~오후 10:00,오전 8:00~오후 10:00,오전 8:00~오후 10:00,4.3,13,,127.072134,37.5505389,와플그란데.jpg
더착한커피세종대점,카페,,,,,,,,,3.5,2,,127.072134,37.5505389,더착한커피세종대점.jpg
이디야 성수우리W타워점,카페,,오전 8:00~오후 10:00,Closed,오전 8:00~오후 10:00,오전 8:00~오후 10:00,오전 8:00~오후 10:00,오전 8:00~오후 10:00,오전 8:00~오후 10:00,3.3,20,,127.0447038,37.5448163,이디야 성수우리W타워점.jpg
샹그리라,카페,,오후 12:00~10:00,오후 12:00~10:00,오후 12:00~10:00,오후 12:00~10:00,오후 12:00~10:00,오후 12:00~10:00,오후 12:00~10:00,4.2,25,,127.072134,37.5505389,샹그리라.jpg
Cafe Mummy,카페,,오후 12:00~10:00,오후 12:00~10:00,오후 12:00~10:00,오후 12:00~10:00,오후 12:00~10:00,오후 12:00~10:00,오후 12:00~10:00,3.0,1,,127.072134,37.5505389,Cafe Mummy.jpg
마우스래빗,카페,,오전 10:00~오후 11:30,오전 10:00~오후 11:30,오전 10:00~오후 11:30,오전 10:00~오후 11:30,오전 10:00~오후 11:30,오전 10:00~오후 11:30,오전 10:00~오후 11:30,4.6,252,,127.072134,37.5505389,마우스래빗.jpg
어니언,카페,,오전 10:00~오후 10:00,오전 10:00~오후 10:00,오전 8:00~오후 10:00,오전 8:00~오후 10:00,오전 8:00~오후 10:00,오전 8:00~오후 10:00,오전 8:00~오후 10:00,4.1,165,,127.0407063,37.5446969,어니언.jpg
이디야,커피숍/커피 전문점,,,,,,,,,3.8,6,,127.072134,37.5505389,이디야.jpg
그라지에,커피숍/커피 전문점,,,,,,,,,,,,127.072134,37.5505389,그라지에.jpg
최가커피,커피숍/커피 전문점,,오전 11:30~오후 11:50,오후 12:00~11:00,오전 11:30~오후 11:50,오전 11:30~오후 11:50,오전 11:30~오후 11:50,오전 11:30~오후 11:50,오전 11:30~오후 11:50,4.5,81,,127.072134,37.5505389,최가커피.jpg
엔제리너스 건대역점,커피숍/커피 전문점,,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,3.9,175,,127.072134,37.5505389,엔제리너스 건대역점.jpg
헨델과그레텔,커피숍/커피 전문점,,,,,,,,,4.1,10,,127.072134,37.5505389,헨델과그레텔.jpg
아리스타,커피숍/커피 전문점,,,,,,,,,3.5,4,,127.0457856,37.5467332,아리스타.jpg
투썸플레이스 건대입구점,커피숍/커피 전문점,,오전 8:30~오전 1:00,오전 8:30~오전 1:00,오전 8:30~오전 1:00,오전 8:30~오전 1:00,오전 8:30~오전 1:00,오전 8:30~오전 1:00,오전 8:30~오전 1:00,,,,127.072134,37.5505389,투썸플레이스 건대입구점.jpg
커피빈코리아 건대스타시티점,커피숍/커피 전문점,특유의 아이스 음료를 비롯하여 다양한 음료를 판매하는 커피 체인점입니다.,,,,,,,,4.2,12,,127.072134,37.5505389,커피빈코리아 건대스타시티점.jpg
이디야커피,커피숍/커피 전문점,,,,,,,,,3.0,2,,127.0487379,37.5609017,이디야커피.jpg
엔젤리너스 건대스타시티점,커피숍/커피 전문점,,오전 7:00~오전 12:00,오전 7:00~오전 12:00,오전 8:00~오후 11:00,오전 8:00~오후 11:00,오전 8:00~오후 11:00,오전 8:00~오후 11:00,오전 8:00~오후 11:00,3.6,5,,127.072134,37.5505389,엔젤리너스 건대스타시티점.jpg
커피마켓,커피숍/커피 전문점,,오전 9:00~오전 3:00,오전 9:00~오전 12:00,오전 9:00~오전 3:00,오전 9:00~오전 3:00,오전 9:00~오전 3:00,오전 9:00~오전 3:00,오전 9:00~오전 3:00,3.7,73,,127.072134,37.5505389,커피마켓.jpg
스타벅스 장한평역점,커피숍/커피 전문점,시애틀에 본사를 두고 있고 간단한 스낵과 무료 Wi-Fi를 제공하는 유명 커피 체인점입니다.,오전 7:00~오후 11:00,오전 8:00~오후 11:00,오전 7:00~오후 11:00,오전 7:00~오후 11:00,오전 7:00~오후 11:00,오전 7:00~오후 11:00,오전 7:00~오후 11:00,4.1,113,,127.0480034,37.5622228,스타벅스 장한평역점.jpg
할리스커피 테크노마트점,커피숍/커피 전문점,,오전 9:15~오후 10:30,오전 9:15~오후 10:30,오전 9:15~오후 10:00,오전 9:15~오후 10:00,오전 9:15~오후 10:00,오전 9:15~오후 10:00,오전 9:15~오후 10:30,4.3,3,,127.072134,37.5505389,할리스커피 테크노마트점.jpg
스타벅스 건대입구점,커피숍/커피 전문점,시애틀에 본사를 두고 있고 간단한 스낵과 무료 Wi-Fi를 제공하는 유명 커피 체인점입니다.,오전 8:00~오후 11:00,오전 8:00~오후 11:00,오전 7:00~오후 11:00,오전 7:00~오후 11:00,오전 7:00~오후 11:00,오전 7:00~오후 11:00,오전 7:00~오후 11:00,3.7,190,,127.072134,37.5505389,스타벅스 건대입구점.jpg
스타벅스 군자역점,커피숍/커피 전문점,시애틀에 본사를 두고 있고 간단한 스낵과 무료 Wi-Fi를 제공하는 유명 커피 체인점입니다.,오전 7:00~오후 11:30,오전 7:00~오후 11:30,오전 7:00~오후 11:00,오전 7:00~오후 11:00,오전 7:00~오후 11:00,오전 7:00~오후 11:00,오전 7:00~오후 11:00,3.9,122,,127.072134,37.5505389,스타벅스 군자역점.jpg
카페베네 장안점,커피숍/커피 전문점,달콤한 스낵과 샌드위치를 판매하는 편안한 분위기의 유럽풍 커피하우스 체인점입니다.,오전 8:00~오전 12:00,오전 8:00~오전 12:00,오전 8:00~오전 12:00,오전 8:00~오전 12:00,오전 8:00~오전 12:00,오전 8:00~오전 12:00,오전 8:00~오전 12:00,3.6,40,,127.0432299,37.5623146,카페베네 장안점.jpg
엔제리너스 건대병원,커피숍/커피 전문점,,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,3.3,74,,127.072134,37.5505389,엔제리너스 건대병원.jpg
모카하마,커피숍/커피 전문점,,Closed,Closed,오전 9:00~오후 9:00,오전 9:00~오후 9:00,오전 9:00~오후 9:00,오전 9:00~오후 9:00,오전 9:00~오후 9:00,3.9,7,,127.072134,37.5505389,모카하마.jpg
벨라빈스커피,커피숍/커피 전문점,,,,,,,,,3.3,4,,127.0467855,37.5478164,벨라빈스커피.jpg
투썸플레이스 장안점,커피숍/커피 전문점,,오전 11:00~오후 12:00,오전 11:00~오후 12:00,오전 11:00~오후 12:00,오전 11:00~오후 12:00,오전 11:00~오후 12:00,오전 11:00~오후 12:00,오전 11:00~오후 12:00,3.4,20,,127.072134,37.5505389,투썸플레이스 장안점.jpg
몽골 울란바타르 문화진흥원,문화센터,,,,,,,,,3.5,4,,127.072134,37.5505389,몽골 울란바타르 문화진흥원.jpg
성수아트홀,공연예술 극장,,,,,,,,,4.3,96,,127.0294472,37.5454017,성수아트홀.jpg
홍대돈부리 건대점,음식점,,,,,,,,,4.0,1,,127.072134,37.5505389,홍대돈부리 건대점.jpg
전주명가콩나물국밥,음식점,,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,3.9,94,,127.072134,37.5505389,전주명가콩나물국밥.jpg
차이나플레인,중국 음식점,,오전 11:30~오후 10:00,오전 11:30~오후 10:00,오전 11:30~오후 10:00,오전 11:30~오후 10:00,오전 11:30~오후 10:00,오전 11:30~오후 10:00,오전 11:30~오후 10:00,3.6,70,,127.0394529,37.5445945,차이나플레인.jpg
비스트로 드 욘트빌 BISTROT de YOUNTVILLE (Restaurant français),프랑스 음식점,,오후 12:00~3:00,오후 12:00~3:00,오후 12:00~3:00,오후 12:00~3:00,오후 12:00~3:00,오후 12:00~3:00,오후 12:00~3:00,4.3,67,,127.0237136,37.526034,비스트로 드 욘트빌 BISTROT de YOUNTVILLE (Restaurant français).jpg
꼬메노,카페,,,,,,,,,4.4,10,,127.072134,37.5505389,꼬메노.jpg
김종욱커피,커피숍/커피 전문점,,오전 9:00~오후 10:00,오전 9:00~오후 10:00,오전 9:00~오후 10:00,오전 9:00~오후 10:00,오전 9:00~오후 10:00,오전 9:00~오후 10:00,오전 9:00~오후 10:00,4.4,44,,127.0320031,37.5495606,김종욱커피.jpg
바곱창,술집,,,,,,,,,4.3,10,,127.019475,37.5504806,바곱창.jpg
피에스타 2 스윙댄스 바 Fiesta 2 Swing Dance Bar,술집,,,,,,,,,4.6,16,,127.019475,37.5504806,피에스타 2 스윙댄스 바 Fiesta 2 Swing Dance Bar.jpg
positive zero lounge,재즈바,,오후 6:00~오전 2:00,오후 6:00~오전 2:00,Closed,오후 6:00~오전 2:00,오후 6:00~오전 2:00,오후 6:00~오전 2:00,오후 6:00~오전 2:00,4.4,51,,127.019475,37.5504806,positive zero lounge.jpg
바 델마,바 & 그릴,,오후 7:30~오전 2:00,Closed,오후 7:30~오전 2:00,오후 7:30~오전 2:00,오후 7:30~오전 2:00,오후 7:30~오전 2:00,오후 7:30~오전 2:00,4.6,12,,127.019475,37.5504806,바 델마.jpg
믹솔로지 MIXOLOGY,칵테일바,,오후 8:00~오전 3:00,Closed,오후 8:00~오전 2:00,오후 8:00~오전 2:00,오후 8:00~오전 2:00,오후 8:00~오전 2:00,오후 8:00~오전 3:00,4.9,30,,127.019475,37.5504806,믹솔로지 MIXOLOGY.jpg
정식바,와인 바,,오후 6:00~오전 2:00,오후 12:00~3:00,오후 6:00~오전 2:00,오후 6:00~오전 2:00,오후 6:00~오전 2:00,오후 6:00~오전 2:00,오후 6:00~오전 2:00,4.5,24,,127.019475,37.5504806,정식바.jpg
오아시스 LP 뮤직바,술집,,,,,,,,,4.8,17,,127.019475,37.5504806,오아시스 LP 뮤직바.jpg
White Bar (화이트 바),칵테일바,,오후 7:00~오전 3:00,오후 7:00~오전 2:00,오후 7:00~오전 3:00,오후 7:00~오전 3:00,오후 7:00~오전 3:00,오후 7:00~오전 3:00,오후 7:00~오전 3:00,4.3,24,,127.019475,37.5504806,White Bar (화이트 바).jpg
볼트82,칵테일바,,오전 9:00~오전 4:00,오전 9:00~오전 2:00,오후 7:00~오전 3:00,오전 9:00~오전 3:00,오전 9:00~오전 3:00,오전 9:00~오전 4:00,오전 9:00~오전 4:00,4.4,79,,127.019475,37.5504806,볼트82.jpg
바코난,칵테일바,,오후 7:00~오전 3:00,오후 7:00~오전 3:00,오후 7:00~오전 3:00,오후 7:00~오전 3:00,오후 7:00~오전 3:00,오후 7:00~오전 3:00,오후 7:00~오전 3:00,4.3,6,,127.019475,37.5504806,바코난.jpg
칵테일바 카페루이 본점 (Cafe Louis HQ),칵테일바,,오후 6:00~오전 2:00,Closed,오후 6:00~오전 2:00,오후 6:00~오전 2:00,오후 6:00~오전 2:00,오후 6:00~오전 2:00,오후 6:00~오전 2:00,4.2,19,,127.019475,37.5504806,칵테일바 카페루이 본점 (Cafe Louis HQ).jpg
레드모델바 잠실신천점,술집,,오후 8:00~오전 7:00,Closed,오후 8:00~오전 7:00,오후 8:00~오전 7:00,오후 8:00~오전 7:00,오후 8:00~오전 7:00,오후 8:00~오전 7:00,4.2,5,,127.019475,37.5504806,레드모델바 잠실신천점.jpg
한남동 와이낫 (WHY NOT),칵테일바,,오후 7:00~오전 5:00,오후 7:00~오전 4:00,오후 7:00~오전 4:00,오후 7:00~오전 4:00,오후 7:00~오전 4:00,오후 7:00~오전 4:00,오후 7:00~오전 5:00,4.4,54,,127.019475,37.5504806,한남동 와이낫 (WHY NOT).jpg
미식바,와인 바,,,,,,,,,5.0,1,,127.019475,37.5504806,미식바.jpg
원스인어블루문,재즈바,,오후 6:00~오전 2:00,오후 6:00~오전 12:00,오후 6:00~오전 1:00,오후 6:00~오전 1:00,오후 6:00~오전 2:00,오후 6:00~오전 2:00,오후 6:00~오전 2:00,4.4,238,,127.019475,37.5504806,원스인어블루문.jpg
Bar Musk - 바 머스크,술집,,오후 7:00~오전 2:00,Closed,오후 7:00~오전 2:00,오후 7:00~오전 2:00,오후 7:00~오전 2:00,오후 7:00~오전 2:00,오후 7:00~오전 2:00,4.6,15,,127.019475,37.5504806,Bar Musk - 바 머스크.jpg
1971바,술집,,,,,,,,,3.0,1,,127.019475,37.5504806,1971바.jpg
먼데이블루스 와인바,술집,,,,,,,,,4.4,28,,127.019475,37.5504806,먼데이블루스 와인바.jpg
사이드웨이 와인,와인 바,,오후 5:00~오전 2:00,오후 5:00~오전 12:00,오후 6:00~오전 2:00,오후 6:00~오전 2:00,오후 6:00~오전 2:00,오후 6:00~오전 2:00,오후 6:00~오전 2:00,4.3,46,,127.019475,37.5504806,사이드웨이 와인.jpg
신시어,바 & 그릴,,,,,,,,,4.7,7,,127.019475,37.5504806,신시어.jpg
세종문화회관,문화센터,,,,,,,,,4.3,"1,620",,126.9668882,37.5725254,세종문화회관.jpg
대치2문화센타,문화센터,,,,,,,,,3.7,28,,127.0556294,37.5022996,대치2문화센타.jpg
롯데MBC문화센터 강남점,문화센터,,,,,,,,,4.5,12,,127.0460367,37.4976341,롯데MBC문화센터 강남점.jpg
역삼2동문화센터,문화센터,,,,,,,,,5.0,1,,127.0380157,37.4959613,역삼2동문화센터.jpg
대치4문화복지회관,문화센터,,,,,,,,,3.9,23,,127.0491358,37.4997536,대치4문화복지회관.jpg
동부여성문화센터,문화센터,,,,,,,,,5.0,3,,127.0012392,37.5772007,동부여성문화센터.jpg
송파여성문화회관,문화센터,,오전 9:00~오후 10:00,Closed,오전 9:00~오후 10:00,오전 9:00~오후 10:00,오전 9:00~오후 10:00,오전 9:00~오후 10:00,오전 9:00~오후 10:00,3.8,146,,127.1010648,37.5058779,송파여성문화회관.jpg
허리우드극장,영화관,,,,,,,,,4.0,37,,126.9793248,37.5727009,허리우드극장.jpg
CGV 천호,영화관,,,,,,,,,4.2,941,,127.1334892,37.5456582,CGV 천호.jpg
합동영화(주),영화관,,,,,,,,,4.0,300,,126.9828812,37.5696522,합동영화(주).jpg
CGV 강남,영화관,,,,,,,,,3.7,"1,640",,127.0175587,37.5015645,CGV 강남.jpg
민속극장풍류,공연예술 극장,,,,,,,,,4.6,28,,127.0358766,37.5101818,민속극장풍류.jpg
CGV 피카디리1958,영화관,,,,,,,,,3.9,849,,126.9883196,37.5495559,CGV 피카디리1958.jpg
CGV 강남,영화관,,,,,,,,,3.7,"1,640",,126.9883196,37.5495559,CGV 강남.jpg
홍콩반점0410 어린이대공원점,중국 음식점,,,,,,,,,,,,127.0702833,37.5505439,홍콩반점0410 어린이대공원점.jpg
페리카나 화양리점,음식점,,,,,,,,,,,,127.0671614,37.544678,페리카나 화양리점.jpg
미다래,일본 음식점,,,,,,,,,3.0,2,,127.0692446,37.5422339,미다래.jpg
아이점프 군자점,카페,,오전 10:00~오후 8:00,오전 10:00~오후 8:00,오전 10:00~오후 8:00,오전 10:00~오후 8:00,오전 10:00~오후 8:00,오전 10:00~오후 8:00,오전 10:00~오후 8:00,4.1,13,,127.0702833,37.5505439,아이점프 군자점.jpg
단지커피,카페,,오후 12:00~9:00,Closed,오전 11:00~오후 9:00,오전 11:00~오후 9:00,오전 11:00~오후 9:00,오전 11:00~오후 9:00,오전 11:00~오후 9:00,4.6,11,,127.0702833,37.5505439,단지커피.jpg
옥루몽어린이대공원점,카페,,오전 8:00~오후 11:00,오전 8:00~오후 11:00,오전 8:00~오후 11:00,오전 8:00~오후 11:00,오전 8:00~오후 11:00,오전 8:00~오후 11:00,오전 8:00~오후 11:00,4.0,21,,127.0702833,37.5505439,옥루몽어린이대공원점.jpg
모서리에커피집,카페,,오전 11:30~오후 10:00,오전 11:30~오후 10:00,오전 11:30~오후 10:00,오전 11:30~오후 10:00,오전 11:30~오후 10:00,오전 11:30~오후 10:00,오전 11:30~오후 10:00,4.6,13,,127.0708259,37.5460009,모서리에커피집.jpg
Comeno,카페,,오후 12:00~오전 12:00,오후 12:00~오전 12:00,오후 1:00~11:00,Closed,오후 1:00~11:00,오후 1:00~11:00,오후 1:00~11:00,4.3,11,,127.0668841,37.5455626,Comeno.jpg
까페에이치투,커피숍/커피 전문점,,,,,,,,,1.5,2,,127.0745234,37.5551566,까페에이치투.jpg
영화커피호프,커피숍/커피 전문점,,,,,,,,,5.0,2,,127.06948,37.5583645,영화커피호프.jpg
Bar Twelve @Cheongdam,바 & 그릴,,오후 8:00~오전 4:00,오후 7:30~오전 3:00,오후 7:30~오전 3:00,오후 7:30~오전 3:00,오후 7:30~오전 3:00,오후 7:30~오전 3:00,오후 8:00~오전 4:00,4.5,34,,127.0097459,37.5511748,Bar Twelve @Cheongdam.jpg
몰트바 오프 삼성동 (Malt Bar OFF),술집,,오후 7:00~오전 2:00,Closed,오후 7:00~오전 2:00,오후 7:00~오전 2:00,오후 7:00~오전 2:00,오후 7:00~오전 2:00,오후 7:00~오전 2:00,4.7,23,,127.0097459,37.5511748,몰트바 오프 삼성동 (Malt Bar OFF).jpg
뱅가,와인 바,,오후 6:00~오전 2:00,Closed,오후 6:00~오전 2:00,오후 6:00~오전 2:00,오후 6:00~오전 2:00,오후 6:00~오전 2:00,오후 6:00~오전 2:00,4.4,47,,127.0097459,37.5511748,뱅가.jpg
스쿠로,와인 바,,오후 6:00~오전 2:00,오후 6:00~오전 12:00,오후 6:00~오전 12:00,오후 6:00~오전 2:00,오후 6:00~오전 2:00,오후 6:00~오전 2:00,오후 6:00~오전 2:00,4.5,42,,127.0097459,37.5511748,스쿠로.jpg
최고노래방,노래방,,,,,,,,,,,,127.0640981,37.5464572,최고노래방.jpg
락휴노래연습장,노래방,,,,,,,,,4.0,2,,127.0668893,37.5419839,락휴노래연습장.jpg
SBS노래방,노래방,,,,,,,,,3.0,2,,127.0549302,37.5505426,SBS노래방.jpg
로또노래방,노래방,,,,,,,,,3.0,1,,127.0652925,37.5443194,로또노래방.jpg
알쏭노래방,노래방,,오후 1:00~오전 6:00,오후 1:00~오전 6:00,오후 5:00~오전 6:00,오후 5:00~오전 6:00,오후 5:00~오전 6:00,오후 5:00~오전 6:00,오후 5:00~오전 6:00,5.0,1,,127.0633786,37.541621,알쏭노래방.jpg
불티나노래방,노래방,,,,,,,,,,,,127.0468055,37.5434902,불티나노래방.jpg
DC노래방,노래방,,,,,,,,,,,,127.0662243,37.5421885,DC노래방.jpg
칸노래방,노래방,,,,,,,,,,,,127.0636446,37.5415222,칸노래방.jpg
팡팡노래방,노래방,,,,,,,,,,,,127.0658338,37.5412618,팡팡노래방.jpg
포그니노래방,노래방,,,,,,,,,,,,127.0549302,37.5505426,포그니노래방.jpg
사이버노래방,노래방,,,,,,,,,,,,127.0621953,37.5418172,사이버노래방.jpg
웰빙노래방,노래방,,,,,,,,,,,,127.0642229,37.5416506,웰빙노래방.jpg
대한민국노래방,노래방,,,,,,,,,,,,127.0650006,37.5409007,대한민국노래방.jpg
쟁반노래방,노래방,,,,,,,,,,,,127.0606076,37.5395204,쟁반노래방.jpg
뉴월드노래방,노래방,,,,,,,,,,,,127.0611954,37.5421227,뉴월드노래방.jpg
쟁반노래방,노래방,,,,,,,,,,,,127.065841,37.5413467,쟁반노래방.jpg
삼바노래방,노래방,,,,,,,,,,,,127.0549302,37.5505426,삼바노래방.jpg
쌍둥이노래방,노래방,,,,,,,,,,,,127.0639174,37.541595,쌍둥이노래방.jpg
NEW쟁반노래방,노래방,,,,,,,,,3.7,3,,127.0631845,37.5620182,NEW쟁반노래방.jpg
악어떼노래방,노래방,,,,,,,,,,,,127.0654632,37.540911,악어떼노래방.jpg
초밥짓는원숭이,일본 음식점,,오전 11:30~오후 3:30,오전 11:30~오후 3:30,오전 11:30~오후 3:30,오전 11:30~오후 3:30,오전 11:30~오후 3:30,오전 11:30~오후 3:30,오전 11:30~오후 3:30,3.2,21,,127.0695066,37.5431033,초밥짓는원숭이.jpg
와하카,음식점,,,,,,,,,4.2,73,,127.0368305,37.5478922,와하카.jpg
카페오롯,카페,,오전 11:00~오후 11:00,오전 11:00~오후 11:00,오전 10:00~오후 11:00,오전 10:00~오후 11:00,오전 10:00~오후 11:00,오전 10:00~오후 11:00,오전 10:00~오후 11:00,4.2,34,,127.0484837,37.54845,카페오롯.jpg
